doi,journal,reason
10.2307/1519870,Sociology of Education,idconv: no PMCID
10.1016/S1054-139X(03)00058-2,Journal of Adolescent Health,idconv: no PMCID
10.1111/j.1533-8525.2003.tb00525.x,Sociological Quarterly,idconv: no PMCID
10.1016/S1054-139X(99)00118-4,Journal of Adolescent Health,idconv: no PMCID
10.2989/17280580309486536,Journal of Child and Adolescent Mental Health,idconv: no PMCID
10.1525/sp.2004.51.4.569,Social Problems,abstract_only
10.1097/01.olq.0000137898.17919.35,Sexually Transmitted Diseases,idconv: no PMCID
10.1363/3622504,Perspectives on Sexual and Reproductive Health,idconv: no PMCID
10.1207/S1532480XADS0801_4,Applied Developmental Science,idconv: no PMCID
10.1353/sof.2004.0089,Social Forces,idconv: no PMCID
10.1177/0306624X03262513,International Journal of Offender Therapy and Comparative Criminology,idconv: no PMCID
10.1037/h0087763,American Journal of Orthopsychiatry,idconv: no PMCID
10.1038/sj.ijo.0802804,International Journal of Obesity,idconv: no PMCID
10.1086/386272,American Journal of Sociology,idconv: no PMCID
10.2105/AJPH.94.1.89,American Journal of Public Health,abstract_only
10.1542/peds.113.3.530,Pediatrics,idconv: no PMCID
10.1016/j.adolescence.2004.03.004,Journal of Adolescence,idconv: no PMCID
10.1111/j.1532-7795.2004.00076.x,Journal of Research on Adolescence,idconv: no PMCID
10.1002/sim.1883,Statistics in Medicine,idconv: no PMCID
10.1111/j.1752-0606.2000.tb00300.x,Journal of Marital and Family Therapy,idconv: no PMCID
10.1177/0743558403258268,Journal of Adolescent Research,idconv: no PMCID
10.1037/1099-9809.10.3.200,Cultural Diversity and Ethnic Minority Psychology,abstract_only
10.1111/j.1741-3737.2004.00019.x,Journal of Marriage and Family,idconv: no PMCID
10.1177/0192513X03258307,Journal of Family Issues,idconv: no PMCID
10.1111/j.0038-4941.2004.00275.x,Social Science Quarterly,idconv: no PMCID
10.1177/003804070407700103,Sociology of Education,idconv: no PMCID
10.1111/j.0038-4941.2004.00272.x,Social Science Quarterly,idconv: no PMCID
10.1177/002214650404500403,Journal of Health and Social Behavior,idconv: no PMCID
10.1525/sp.2004.51.2.288,Social Problems,idconv: no PMCID
10.1111/j.1467-8624.2004.00668.x,Child Development,idconv: no PMCID
10.2105/AJPH.90.12.1879,American Journal of Public Health,abstract_only
10.1177/0022427803256236,Journal of Research in Crime and Delinquency,idconv: no PMCID
10.1023/B:PREV.0000037640.66607.6b,Prevention Science,idconv: no PMCID
10.2307/3559012,Journal of Human Resources,idconv: no PMCID
10.1016/j.jadohealth.2003.09.020,Journal of Adolescent Health,idconv: no PMCID
10.1080/07418820400095731,Justice Quarterly,idconv: no PMCID
10.1097/00007435-200406000-00010,Sexually Transmitted Diseases,idconv: no PMCID
10.1016/j.addbeh.2004.02.043,Addictive Behaviors,idconv: no PMCID
10.1207/s15326888chc3302_2,Children's Health Care,idconv: no PMCID
10.1001/jama.1997.03550100090045,"JAMA, The Journal of the American Medical Association",idconv: no PMCID
10.1542/peds.106.5.1017,Pediatrics,idconv: no PMCID
10.1177/0146167203258840,Personality and Social Psychology Bulletin,idconv: no PMCID
10.1016/j.whi.2004.03.006,Women's Health Issues,idconv: no PMCID
10.1111/j.1467-8624.2004.00823.x,Child Development,idconv: no PMCID
10.1023/B:CMOT.0000032581.34436.7b,Computational and Mathematical Organization Theory,idconv: no PMCID
10.1016/S1054-139X(03)00206-4,Journal of Adolescent Health,idconv: no PMCID
10.1001/jama.291.18.2229,"JAMA, The Journal of the American Medical Association",idconv: no PMCID
10.1207/s15327809jls1302_6,Journal of the Learning Sciences,idconv: no PMCID
10.1111/j.1741-3737.2004.00001.x,Journal of Marriage and Family,idconv: no PMCID
10.1111/j.1746-1561.2000.tb06442.x,Journal of School Health,idconv: no PMCID
10.1016/j.jadohealth.2003.11.021,Journal of Adolescent Health,idconv: no PMCID
10.1363/3626504,Perspectives on Sexual and Reproductive Health,idconv: no PMCID
10.1177/002214650404500205,Journal of Health and Social Behavior,idconv: no PMCID
10.2105/AJPH.94.1.128,American Journal of Public Health,abstract_only
10.1016/S0749-3797(04)00124-2,American Journal of Preventive Medicine,idconv: no PMCID
10.1363/3623904,Perspectives on Sexual and Reproductive Health,idconv: no PMCID
10.1016/j.jadohealth.2003.09.003,Journal of Adolescent Health,idconv: no PMCID
10.1111/j.0022-2445.2004.00048.x,Journal of Marriage and Family,idconv: no PMCID
10.1016/S0749-3797(04)00183-7,American Journal of Preventive Medicine,idconv: no PMCID
10.1080/07399330490278330,Health Care for Women International,idconv: no PMCID
10.1080/01612840490268199,Issues in Mental Health Nursing,idconv: no PMCID
10.1363/3623304,Perspectives on Sexual and Reproductive Health,idconv: no PMCID
10.1002/nur.20004,Research in Nursing and Health,idconv: no PMCID
10.1363/3625804,Perspectives on Sexual and Reproductive Health,idconv: no PMCID
10.1016/S1054-139X(99)00096-8,Journal of Adolescent Health,idconv: no PMCID
10.1111/j.0038-4941.2004.00238.x,Social Science Quarterly,idconv: no PMCID
10.1023/B:JOYO.0000025322.11510.9d,Journal of Youth and Adolescence,idconv: no PMCID
10.1111/j.1467-8624.2004.00820.x,Child Development,idconv: no PMCID
10.1177/1043986204269383,Journal of Contemporary Criminal Justice,idconv: no PMCID
10.1353/sof.2004.0128,Social Forces,idconv: no PMCID
10.1300/J233v03n03_03,Journal of Ethnicity in Substance Abuse,idconv: no PMCID
10.1016/j.jadohealth.2003.05.003,Journal of Adolescent Health,idconv: no PMCID
10.1037/0893-164X.18.2.135,Psychology of Addictive Behaviors,idconv: no PMCID
10.1515/IJAMH.1999.11.3-4.197,International Journal of Adolescent Medicine and Health,idconv: no PMCID
10.1111/j.1533-8525.2004.tb02303.x,Sociological Quarterly,idconv: no PMCID
10.1111/j.1533-8525.2004.tb02310.x,Sociological Quarterly,idconv: no PMCID
10.1196/annals.1330.009,Annals of the New York Academy of Sciences,idconv: no PMCID
10.1353/sof.2004.0117,Social Forces,idconv: no PMCID
10.1177/0021934703261926,Journal of Black Studies,idconv: no PMCID
10.1023/B:JOYO.0000032640.25593.9f,Journal of Youth and Adolescence,idconv: no PMCID
10.1111/j.1931-2393.2004.tb00029.x,Perspectives on Sexual and Reproductive Health,idconv: no PMCID
10.1037/0002-9432.74.3.305,American Journal of Orthopsychiatry,idconv: no PMCID
10.1177/10634266040120040201,Journal of Emotional and Behavioral Disorders,idconv: no PMCID
10.1037/0002-9432.74.4.577,American Journal of Orthopsychiatry,idconv: no PMCID
10.1177/0886260504268002,Journal of Interpersonal Violence,idconv: no PMCID
10.2307/3559032,Journal of Human Resources,idconv: no PMCID
10.1111/j.1746-1561.2004.tb08285.x,Journal of School Health,idconv: no PMCID
10.1007/s10940-004-5866-1,Journal of Quantitative Criminology,idconv: no PMCID
10.1111/j.1746-1561.2004.tb08284.x,Journal of School Health,idconv: no PMCID
10.1002/jcop.20002,Journal of Community Psychology,idconv: no PMCID
10.1177/0743558403260019,Journal of Adolescent Research,idconv: no PMCID
10.1363/3627604,Perspectives on Sexual and Reproductive Health,idconv: no PMCID
10.1001/archpedi.154.8.809,Archives of Pediatrics and Adolescent Medicine,idconv: no PMCID
10.1177/0044118X03255006,Youth and Society,idconv: no PMCID
10.1016/j.jadohealth.2003.12.015,Journal of Adolescent Health,idconv: no PMCID
10.1097/01.ede.0000152900.81355.00,Epidemiology,idconv: no PMCID
10.1016/j.amepre.2004.12.006,American Journal of Preventive Medicine,idconv: no PMCID
10.2105/AJPH.2003.030700,American Journal of Public Health,idconv: no PMCID
10.1016/j.drugalcdep.2004.12.004,Drug and Alcohol Dependence,idconv: no PMCID
10.1111/j.1533-8525.2005.00005.x,Sociological Quarterly,idconv: no PMCID
10.1002/nur.20078,Research in Nursing and Health,idconv: no PMCID
10.1080/0735648X.2005.9721639,Journal of Crime and Justice,idconv: no PMCID
10.1016/S1054-139X(00)00170-1,Journal of Adolescent Health,idconv: no PMCID
10.1037/0022-006X.73.1.47,Journal of Consulting and Clinical Psychology,idconv: no PMCID
10.1525/sop.2005.48.1.1,Sociological Perspectives,idconv: no PMCID
10.1363/3712505,Perspectives on Sexual and Reproductive Health,idconv: no PMCID
10.1016/j.pedn.2005.01.003,Journal of Pediatric Nursing,idconv: no PMCID
10.1542/peds.2004-0678,Pediatrics,idconv: no PMCID
10.1016/j.ssresearch.2004.03.002,Social Science Research,idconv: no PMCID
10.1001/archpsyc.62.3.311,Archives of General Psychiatry,idconv: no PMCID
10.1111/j.0737-1209.2005.220603.x,Public Health Nursing,idconv: no PMCID
10.1521/suli.35.2.206.62873,Suicide and Life-Threatening Behavior,idconv: no PMCID
10.1016/S1047-2797(00)00162-9,Annals of Epidemiology,idconv: no PMCID
10.1177/0192513X04270262,Journal of Family Issues,idconv: no PMCID
10.1037/1082-989X.10.1.84,Psychological Methods,idconv: no PMCID
10.1111/j.0011-1348.2005.00006.x,Criminology,idconv: no PMCID
10.1016/j.drugalcdep.2004.11.003,Drug and Alcohol Dependence,idconv: no PMCID
10.1002/nur.20093,Research in Nursing and Health,idconv: no PMCID
10.1037/0012-1649.41.1.135,Developmental Psychology,idconv: no PMCID
10.1037/0278-6133.24.2.161,Health Psychology,idconv: no PMCID
10.1016/j.jadohealth.2004.02.030,Journal of Adolescent Health,idconv: no PMCID
10.1016/j.jadohealth.2003.12.013,Journal of Adolescent Health,idconv: no PMCID
10.1038/oby.2005.100,Obesity Research,idconv: no PMCID
10.1006/jado.2000.0359,Journal of Adolescence,idconv: no PMCID
10.1016/j.jadohealth.2004.01.015,Journal of Adolescent Health,idconv: no PMCID
10.1037/0278-6133.24.1.88,Health Psychology,abstract_only
10.1001/archpedi.159.7.657,Archives of Pediatrics and Adolescent Medicine,idconv: no PMCID
10.1111/j.0022-2445.2005.00009.x,Journal of Marriage and Family,idconv: no PMCID
10.1111/j.1745-9125.2005.00035.x,Criminology,idconv: no PMCID
10.1016/j.jadohealth.2005.01.005,Journal of Adolescent Health,idconv: no PMCID
10.1007/s10882-005-3686-3,Journal of Developmental and Physical Disabilities,idconv: no PMCID
10.1016/S1054-139X(99)00123-8,Journal of Adolescent Health,idconv: no PMCID
10.1037/h0087744,American Journal of Orthopsychiatry,idconv: no PMCID
10.1111/j.1741-3737.2005.00163.x,Journal of Marriage and Family,idconv: no PMCID
10.1002/sim.2148,Statistics in Medicine,idconv: no PMCID
10.1007/s11206-005-9058-z,Sociological Forum,idconv: no PMCID
10.1016/j.jadohealth.2004.08.007,Journal of Adolescent Health,idconv: no PMCID
10.1353/sof.2005.0077,Social Forces,idconv: no PMCID
10.1111/j.0022-2445.2005.00131.x,Journal of Marriage and Family,idconv: no PMCID
10.1001/archpsyc.62.9.1042,Archives of General Psychiatry,idconv: no PMCID
10.1016/S1054-139X(99)00041-5,Journal of Adolescent Health,idconv: no PMCID
10.1111/j.1360-0443.2004.00965.x,Addiction,idconv: no PMCID
10.1111/j.0038-4941.2005.00364.x,Social Science Quarterly,idconv: no PMCID
10.1016/j.physbeh.2005.08.051,Physiology & Behavior,idconv: no PMCID
10.1016/j.addbeh.2005.01.006,Addictive Behaviors,idconv: no PMCID
10.1037/0893-3200.19.4.611,Journal of Family Psychology,idconv: no PMCID
10.1080/14622200500125609,Nicotine and Tobacco Research,idconv: no PMCID
10.1097/01.psy.0000188404.02876.8b,Psychosomatic Medicine,idconv: no PMCID
10.2105/AJPH.90.9.1426,American Journal of Public Health,abstract_only
10.1017/S0021932004006765,Journal of Biosocial Science,idconv: no PMCID
10.1177/0192513X04265943,Journal of Family Issues,idconv: no PMCID
10.1093/aler/ahi011,American Law and Economic Review,idconv: no PMCID
10.1016/S0731-2199(05)16005-1,Advances in Health Economics and Health Services Research,idconv: no PMCID
10.1111/j.0038-4941.2005.00314.x,Social Science Quarterly,idconv: no PMCID
10.1016/j.jadohealth.2004.11.086,Journal of Adolescent Health,idconv: no PMCID
10.3138/cjccj.47.4.619,Canadian Journal of Criminology and Criminal Justice,idconv: no PMCID
10.2307/3512165,Review of Religious Research,idconv: no PMCID
10.1002/jcop.20076,Journal of Community Psychology,idconv: no PMCID
10.1002/jcop.20053,Journal of Community Psychology,idconv: no PMCID
10.1016/j.ssresearch.2004.03.001,Social Science Research,idconv: no PMCID
10.1007/s10935-005-1832-4,Journal of Primary Prevention,idconv: no PMCID
10.1093/aje/kwi219,American Journal of Epidemiology,idconv: no PMCID
10.1001/archpedi.159.9.849,Archives of Pediatrics and Adolescent Medicine,idconv: no PMCID
10.2105/AJPH.2003.018952,American Journal of Public Health,idconv: no PMCID
10.1525/ctx.2005.4.3.43,Contexts,idconv: no PMCID
10.1080/07418820500088986,Justice Quarterly,idconv: no PMCID
10.2307/2676292,Journal of Health and Social Behavior,idconv: no PMCID
10.1177/000312240507000402,American Sociological Review,idconv: no PMCID
10.1016/j.jadohealth.2004.11.010,Journal of Adolescent Health,idconv: no PMCID
10.1111/j.1741-3737.2005.00168.x,Journal of Marriage and Family,idconv: no PMCID
10.1016/j.adolescence.2012.12.007,Journal of adolescence,abstract_only
10.1016/j.drugalcdep.2013.02.001,Drug Alcohol Depend,abstract_only
10.1016/j.leaqua.2012.08.001,Leadersh Q,abstract_only
10.1007/s11524-013-9792-0,Journal of urban health,abstract_only
10.1002/ajhb.20405,American Journal of Human Biology,idconv: no PMCID
10.2105/AJPH.2012.301005,American Journal of Public Health,idconv: no PMCID
10.1363/4500613,Perspectives on Sexual and Reproductive Health,abstract_only
10.1007/s00127-013-0668-0,Soc Psychiatry Psychiatr Epidemiol,abstract_only
10.1037/a0029816,Journal of abnormal psychology,idconv: no PMCID
10.1007/s10964-012-9817-0,Journal of youth and adolescence,idconv: no PMCID
10.1007/s00702-012-0881-0,Journal of neural transmission,idconv: no PMCID
10.1542/peds.2012-0627,Pediatrics,abstract_only
10.1111/j.2047-6310.2013.00152.x,Pediatr Obes,abstract_only
10.1016/j.drugalcdep.2013.02.021,Drug Alcohol Depend,abstract_only
10.1080/10665684.2010.517062,Equity Excell Educ,abstract_only
10.1007/s10940-013-9200-7,Journal of Quantitative Criminology,idconv: no PMCID
10.1016/j.addbeh.2013.04.005,Addictive Behaviors,abstract_only
10.1002/da.22102,Depression and Anxiety,abstract_only
10.1007/s11121-013-0393-7,Prevention Science,idconv: no PMCID
10.1111/sltb.12029,Suicide and Life-Threatening Behavior,abstract_only
10.1007/s10508-013-0098-9,Archives of Sexual Behavior,idconv: no PMCID
10.1001/archpsyc.62.10.1142,Archives of General Psychiatry,idconv: no PMCID
10.1016/j.adolescence.2013.03.010,Journal of Adolescence,idconv: no PMCID
10.1016/j.childyouth.2013.01.021,Children and Youth Services Review,abstract_only
10.1016/j.comppsych.2012.07.023,Comprehensive Psychiatry,idconv: no PMCID
10.1007/s10940-009-9065-y,Journal of Quantitative Criminology,idconv: no PMCID
10.1007/s10461-013-0421-4,AIDS and Behavior,abstract_only
10.1111/1745-9125.12010,Criminology,idconv: no PMCID
10.1111/j.1532-7795.2005.00110.x,Journal of Research on Adolescence,idconv: no PMCID
10.1080/13676261.2012.704989,Journal of Youth Studies,idconv: no PMCID
10.1016/j.ssresearch.2012.12.014,Social Science Research,abstract_only
10.1080/01443410.2013.772775,Educational Psychology,idconv: no PMCID
10.1080/10705511.2013.742377,Structural Equation Modeling: A Multidisciplinary Journal,abstract_only
10.1177/1541204012463410,Youth Violence and Juvenile Justice,idconv: no PMCID
10.1016/j.jadohealth.2013.01.005,Journal of Adolescent Health,abstract_only
10.1111/jomf.12016,Journal of Marriage and Family,abstract_only
10.1080/01639625.2012.735905,Deviant Behavior,idconv: no PMCID
10.1016/j.jadohealth.2004.02.022,Journal of Adolescent Health,idconv: no PMCID
10.1080/01639625.2012.726173,Deviant Behavior,idconv: no PMCID
10.1080/10926771.2013.785457,"Journal of Aggression, Maltreatment and Trauma",idconv: no PMCID
10.1177/0022427813484315,Journal of Research in Crime and Delinquency,idconv: no PMCID
10.1363/4506613,Perspectives on Sexual and Reproductive Health,idconv: no PMCID
10.1007/s11113-013-9282-9,Population Research and Policy Review,abstract_only
10.1037/a0031916,Cultur Divers Ethnic Minor Psychol,idconv: no PMCID
10.1016/j.healthplace.2013.01.002,Health Place,abstract_only
10.1002/jcop.20051,Journal of Community Psychology,idconv: no PMCID
10.1177/1059840512461010,The Journal of school nursing,idconv: no PMCID
10.1177/0002764213487346,American Behavioral Scientist,idconv: no PMCID
10.1016/j.jadohealth.2013.03.012,Journal of Adolescent Health,idconv: no PMCID
10.1016/j.jadohealth.2010.10.002,Journal of Adolescent Health,abstract_only
10.1007/s10896-013-9516-y,Journal of Family Violence,abstract_only
10.1016/j.socscimed.2013.05.009,Social Science & Medicine,abstract_only
10.1016/j.amepre.2013.01.027,American Journal of Preventive Medicine,abstract_only
10.1016/j.landurbplan.2013.04.002,Landscape and Urban Planning,abstract_only
10.1007/s11150-013-9192-y,Review of Economics of the Household,idconv: no PMCID
10.1162/REST_a_00401,Review of Economics and Statistics,idconv: no PMCID
10.1353/sof.2006.0018,Social Forces,idconv: no PMCID
10.1111/jomf.12018,Journal of Marriage and Family,abstract_only
10.1016/j.jadohealth.2013.04.004,Journal of Adolescent Health,idconv: no PMCID
10.1016/j.jadohealth.2013.04.003,Journal of Adolescent Health,abstract_only
10.1016/j.jpsychores.2013.04.012,Journal of Psychosomatic Research,idconv: no PMCID
10.1016/j.eatbeh.2013.05.009,Eating Behaviors,idconv: no PMCID
10.1016/j.ssresearch.2013.05.001,Social Science Research,abstract_only
10.1080/01639625.2012.759050,Deviant Behavior,idconv: no PMCID
10.1080/01639625.2013.766511,Deviant Behavior,idconv: no PMCID
10.1353/sof.2005.0104,Social Forces,idconv: no PMCID
10.1080/19485565.2013.774620,Biodemography Soc Biol,abstract_only
10.1177/0190272513475458,Social Psychology Quarterly,idconv: no PMCID
10.1353/hpu.2013.0090,Journal of Health Care for the Poor and Underserved,idconv: no PMCID
10.1111/sltb.12036,Suicide and Life-Threatening Behavior,idconv: no PMCID
10.1016/j.addbeh.2013.05.014,Addictive Behaviors,idconv: no PMCID
10.1080/02791072.2013.785804,Journal of Psychoactive Drugs,abstract_only
10.1111/j.1745-9125.2005.00030.x,Criminology,idconv: no PMCID
10.1177/0192513X13490933,Journal of Family Issues,idconv: no PMCID
10.1177/0022146512473758,J Health Soc Behav,idconv: no PMCID
10.1111/j.1741-3737.2009.00616.x,Journal of Marriage and Family,abstract_only
10.1093/aje/kws462,American Journal of Epidemiology,abstract_only
10.1111/1745-9125.12013,Criminology,idconv: no PMCID
10.1111/1745-9125.12014,Criminology,idconv: no PMCID
10.1016/j.jadohealth.2013.04.016,Journal of Adolescent Health,abstract_only
10.1007/s10995-013-1291-0,Maternal and Child Health Journal,abstract_only
10.1002/cad.20036,New Directions for Child and Adolescent Development,idconv: no PMCID
10.1177/2156869312445211,Society and mental health,abstract_only
10.1016/j.jadohealth.2005.03.022,Journal of Adolescent Health,idconv: no PMCID
10.1007/s11113-013-9288-3,Population Research and Policy Review,abstract_only
10.1016/j.jcrimjus.2013.05.007,Journal of Criminal Justice,idconv: no PMCID
10.1016/j.ssresearch.2013.06.007,Social Science Research,abstract_only
10.1016/j.psychres.2013.04.022,Psychiatry Research,idconv: no PMCID
10.1007/s10964-013-9970-0,Journal of Youth and Adolescence,abstract_only
10.1177/0886260513488696,Journal of Interpersonal Violence,idconv: no PMCID
10.1093/sf/sot067,Social Forces,idconv: no PMCID
10.1007/s11256-013-0251-8,The Urban Review,idconv: no PMCID
10.1177/0044118X04271022,Youth and Society,idconv: no PMCID
10.4236/health.2013.56A3004,Health,idconv: no PMCID
10.1016/j.addbeh.2013.06.013,Addictive Behaviors,abstract_only
10.1111/jomf.12048,Journal of Marriage and Family,abstract_only
10.1016/j.jadohealth.2013.05.013,J Adolesc Health,abstract_only
10.1016/j.jcrimjus.2013.06.003,Journal of Criminal Justice,idconv: no PMCID
10.1007/s10964-013-9968-7,Journal of Youth and Adolescence,abstract_only
10.3109/10826084.2013.808220,Substance Use & Misuse,idconv: no PMCID
http://dx.doi.org/10.1016/j.comppsych.2013.06.002,Comprehensive Psychiatry,idconv: no PMCID
10.1007/s11121-013-0417-3,Prevention Science,abstract_only
10.1037/a0033384,Journal of Latina/o Psychology,abstract_only
10.1016/b978-0-12-380858-5.00007-1,Adv Genet,idconv: no PMCID
10.1111/jora.12066,Journal of Research on Adolescence,idconv: no PMCID
10.1016/j.jadohealth.2013.06.007,Journal of Adolescent Health,idconv: no PMCID
10.1525/srsp.2005.2.4.54,Sexuality Research and Social Policy,idconv: no PMCID
10.1007/s11113-013-9284-7,Population Research and Policy Review,idconv: no PMCID
10.1016/j.jadohealth.2013.06.013,Journal of Adolescent Health,idconv: no PMCID
10.1300/J145v09n01_04,Adoption Quarterly,idconv: no PMCID
10.1007/s10519-013-9602-1,Behavior Genetics,idconv: no PMCID
10.1007/s10508-013-0164-3,Archives of Sexual Behavior,abstract_only
10.1177/0265407510380083,Journal of Social and Personal Relationships,idconv: no PMCID
10.1080/02791072.2013.805980,Journal of Psychoactive Drugs,abstract_only
10.1111/j.1533-8525.2005.00026.x,Sociological Quarterly,idconv: no PMCID
10.1177/0093854813495022,Criminal Justice and Behavior,idconv: no PMCID
10.2105/AJPH.2013.301415,American Journal of Public Health,idconv: no PMCID
10.1007/s10935-013-0315-2,The Journal of Primary Prevention,abstract_only
10.1016/j.annepidem.2013.06.072,Annals of Epidemiology,idconv: no PMCID
10.1002/da.22143,Depression and Anxiety,idconv: no PMCID
10.1177/0886260513496903,Journal of Interpersonal Violence,abstract_only
10.1016/S1054-139X(99)00061-0,Journal of Adolescent Health,idconv: no PMCID
10.1111/j.1532-7795.2012.00836.x,Journal of Research on Adolescence,abstract_only
10.1111/soin.12019,Sociological Inquiry,abstract_only
10.1016/j.econedurev.2013.07.007,Economics of Education Review,idconv: no PMCID
10.1111/j.2047-6310.2013.00195.x,Pediatric Obesity,abstract_only
10.1002/eat.22174,International Journal of Eating Disorders,idconv: no PMCID
10.1177/0734016813501193,Criminal Justice Review,idconv: no PMCID
10.1177/1541204004273318,Youth Violence and Juvenile Justice,idconv: no PMCID
10.1111/jora.12018,Journal of Research on Adolescence,abstract_only
10.1111/jomf.12029,Journal of Marriage and Family,abstract_only
10.1037/a0021874,Psychol Addict Behav,abstract_only
10.1111/add.12345,Addiction,abstract_only
10.1111/jomf.12063,Journal of Marriage and Family,idconv: no PMCID
10.1353/foc.2005.0012,Future of Children,idconv: no PMCID
10.1007/s10680-013-9296-3,European Journal of Population,idconv: no PMCID
10.1016/j.jadohealth.2013.07.026,Journal of Adolescent Health,idconv: no PMCID
10.1016/j.jadohealth.2013.07.023,Journal of Adolescent Health,idconv: no PMCID
10.5172/jamh.2013.11.2.122 ,Advances in Mental Health,idconv: no PMCID
10.1016/j.adolescence.2013.08.012,Journal of Adolescence,idconv: no PMCID
http://dx.doi.org/10.1016/j.ssresearch.2013.08.005,Social Science Research,abstract_only
10.1177/0044118x13499593,Youth & Society,idconv: no PMCID
10.1177/0081175012460221,Sociological Methodology,idconv: no PMCID
10.1542/peds.2004-0139,Pediatrics,idconv: no PMCID
http://dx.doi.org/10.1016/j.jadohealth.2013.07.025,Journal of Adolescent Health,abstract_only
10.1177/0192513x13503324,Journal of Family Issues,idconv: no PMCID
10.1093/aje/kwt188,American Journal of Epidemiology,abstract_only
10.1111/j.2047-6310.2013.00196.x,Pediatric Obesity,abstract_only
10.1007/s11121-011-0201-1,Prev Sci,abstract_only
10.1007/s13524-013-0238-9,Demography,abstract_only
10.1177/019027250506800305,Social Psychology Quarterly,idconv: no PMCID
10.1177/1541204013502824,Youth Violence and Juvenile Justice,idconv: no PMCID
10.1016/j.dr.2013.08.003,Developmental Review,abstract_only
10.1177/1090198113493091,Health Education & Behavior,PMC fetch failed (batched only)
10.1080/07350015.2013.801251,Journal of Business and Economic Statistics,idconv: no PMCID
10.1177/0886260513504626,Journal of Interpersonal Violence,idconv: no PMCID
10.1037/a0029789,Asian American Journal of Psychology,idconv: no PMCID
10.1016/j.jadohealth.2004.06.005,Journal of Adolescent Health,idconv: no PMCID
10.1007/s10964-013-0021-7,Journal of Youth and Adolescence,PMC fetch failed (batched only)
10.1177/0886260513505148,Journal of Interpersonal Violence,idconv: no PMCID
10.1007/s10834-013-9376-x,Journal of Family and Economic Issues,PMC fetch failed (batched only)
10.1080/13557858.2013.846299,Ethnicity & Health,idconv: no PMCID
10.1037/a0034426,J Abnorm Psychol,PMC fetch failed (batched only)
http://dx.doi.org/10.1016/j.bbi.2013.10.020,"Brain, Behavior, and Immunity",PMC fetch failed (batched only)
10.1097/psy.0000000000000005,Psychosomatic Medicine,idconv: no PMCID
10.1162/REST_a_00340,Review of Economics and Statistics,idconv: no PMCID
10.2174/1874922401305010010,Open Family Studies Journal,idconv: no PMCID
10.1080/00224499.2013.821443,Journal of Sex Research,idconv: no PMCID
10.2105/ajph.2013.301355,Am J Public Health,idconv: no PMCID
10.1111/soin.12018,Sociological Inquiry,PMC fetch failed (batched only)
10.1016/j.adolescence.2013.04.001,J Adolesc,idconv: no PMCID
10.1016/j.jadohealth.2013.09.004,Journal of Adolescent Health,PMC fetch failed (batched only)
http://dx.doi.org/10.1016/j.psyneuen.2013.10.019,Psychoneuroendocrinology,PMC fetch failed (batched only)
10.1016/j.econlet.2013.10.038,Economics Letters,idconv: no PMCID
10.2105/AJPH.2003.031476,American Journal of Public Health,idconv: no PMCID
10.11114/ijsss.v2i1.235,International Journal of Social Science Studies,idconv: no PMCID
10.1002/gepi.21760,Genetic Epidemiology,PMC fetch failed (batched only)
10.1177/0146167213488215,Personality and Social Psychology Bulletin,PMC fetch failed (batched only)
10.1111/j.1747-7379.2010.00828.x,International Migration Review,PMC fetch failed (batched only)
10.1016/j.intell.2012.10.007,Intelligence,idconv: no PMCID
10.1016/j.intell.2013.05.001,Intelligence,idconv: no PMCID
10.1177/0272431605276931,Journal of Early Adolescence,idconv: no PMCID
10.1177/0081175012455628,Sociological Methodology,PMC fetch failed (batched only)
10.1177/0093854813504918,Criminal Justice and Behavior,idconv: no PMCID
10.1177/0044118x11417735,Youth & Society,idconv: no PMCID
10.1542/peds.106.4.748,Pediatrics,idconv: no PMCID
10.1016/j.regsciurbeco.2012.12.002,Regional Science and Urban Economics,idconv: no PMCID
10.1111/j.1468-5906.2012.01661.x,Journal for the Scientific Study of Religion,idconv: no PMCID
10.1086/671056,Journal of Labor Economics,idconv: no PMCID
10.2190/DE.42.3.e,Journal of Drug Education,idconv: no PMCID
10.1207/s1532480xads0901_2,Applied Developmental Science,idconv: no PMCID
10.1007/s10940-012-9187-5,Journal of Quantitative Criminology,idconv: no PMCID
10.1177/0306624x12465411,International Journal of Offender Therapy and Comparative Criminology,idconv: no PMCID
10.1017/S0954579413000321,Development and Psychopathology,idconv: no PMCID
10.1177/0192513X04272758,Journal of Family Issues,idconv: no PMCID
10.1111/jora.12091,Journal of Research on Adolescence,PMC fetch failed (batched only)
10.1186/1471-244X-13-286,BMC Psychiatry,idconv: no PMCID
10.15405/ejsbs.72,The European Journal of Social & Behavioural Sciences,idconv: no PMCID
10.1111/jora.12096,Journal of Research on Adolescence,idconv: no PMCID
10.1086/672081,American Journal of Sociology,PMC fetch failed (batched only)
http://dx.doi.org/10.1016/j.jadohealth.2013.09.008,Journal of Adolescent Health,PMC fetch failed (batched only)
10.1177/0002716213502920,The ANNALS of the American Academy of Political and Social Science,PMC fetch failed (batched only)
10.1007/s11195-013-9326-4,Sexuality and Disability,idconv: no PMCID
10.1177/0002716213501273,The ANNALS of the American Academy of Political and Social Science,idconv: no PMCID
10.2307/4148279,Review of Religious Research,idconv: no PMCID
10.1007/s12103-012-9182-2,American Journal of Criminal Justice,idconv: no PMCID
10.1016/j.socscimed.2013.11.025,Social Science & Medicine,idconv: no PMCID
